planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_radius_earth,planet_mass_earth,planet_mass_jupiter,sy_dist
HD 66141 b,1,Radial Velocity,2012,Published Confirmed,0,480.5,1.2,,1906.9,6.0,68.1509
HD 66428 b,1,Radial Velocity,2005,Published Confirmed,0,2269.81726,3.395,,3478.94974302,10.946,53.2817
HD 66428 c,1,Radial Velocity,2021,Published Confirmed,0,10478.84437,9.408,,560.64930995,1.764,53.2817
HD 67087 b,1,Radial Velocity,2015,Published Confirmed,0,352.2,1.08,,973.0,3.06,76.5217
HD 67087 c,1,Radial Velocity,2015,Published Confirmed,0,2374.0,3.86,,1540.0,4.85,76.5217
HD 6718 b,1,Radial Velocity,2009,Published Confirmed,1,2476.0,3.53,,762.7881768,2.4,51.3444
HD 68402 b,1,Radial Velocity,2016,Published Confirmed,0,1103.0,2.18,,975.7381,3.07,78.4293
HD 68475 b,1,Radial Velocity,2026,Published Confirmed,0,7832.0,7.27,,1639.99458012,5.16,33.4297
HD 6860 b,1,Radial Velocity,2023,Published Confirmed,0,663.87,2.03,,8981.83078182,28.26,61.12469
HD 68988 b,1,Radial Velocity,2001,Published Confirmed,0,6.27711,0.07,,626.1251,1.97,60.8447
HD 68988 c,1,Radial Velocity,2021,Published Confirmed,0,16000.0,13.2,,4767.426105,15.0,60.8447
HD 69123 b,1,Radial Velocity,2022,Published Confirmed,0,1193.3,2.482,,966.19835728,3.04,75.116
HD 69830 b,1,Radial Velocity,2006,Published Confirmed,0,8.667,0.0785,,10.2,0.0321,12.5591
HD 69830 c,1,Radial Velocity,2006,Published Confirmed,0,31.56,0.186,,11.8,0.0371,12.5591
HD 69830 d,1,Radial Velocity,2006,Published Confirmed,0,197.0,0.63,,18.1,0.057,12.5591
HD 70573 b,1,Radial Velocity,2007,Published Confirmed,0,851.8,1.76,,1900.0,6.1,59.182
HD 70642 b,1,Radial Velocity,2003,Published Confirmed,0,2124.54,3.318,,633.43519,1.993,29.276
HD 7199 b,1,Radial Velocity,2011,Published Confirmed,0,615.0,1.36,,85.8141,0.27,36.1531
HD 72490 b,1,Radial Velocity,2018,Published Confirmed,0,858.0,1.88,,561.92344,1.768,126.339
HD 72659 b,1,Radial Velocity,2002,Published Confirmed,0,3549.0,4.607,,906.12878836,2.851,51.8949
HD 72659 c,1,Radial Velocity,2022,Published Confirmed,0,35500.0,21.5,,6165.8710958,19.4,51.8949
HD 72892 b,1,Radial Velocity,2016,Published Confirmed,0,39.44603,0.228,,1737.88572948,5.468,69.7311
HD 73256 c,1,Radial Velocity,2023,Published Confirmed,0,2690.0,3.8,,5085.254512,16.0,36.708
HD 73267 b,1,Radial Velocity,2008,Published Confirmed,0,1257.99159,2.229,,1321.53051631,4.158,50.4093
HD 73267 c,1,Radial Velocity,2022,Published Confirmed,0,17071.78045,12.688,,1630.77755632,5.131,50.4093
HD 73344 b,1,Transit,2024,Published Confirmed,0,15.611,0.131,2.884,10.48,0.03297377,35.26
HD 73344 c,1,Radial Velocity,2025,Published Confirmed,0,65.94,0.3388,,118.54999581,0.373,35.26
HD 73344 d,1,Radial Velocity,2025,Published Confirmed,0,5823.0,6.7,,810.46243785,2.55,35.26
HD 73526 b,1,Radial Velocity,2002,Published Confirmed,1,188.3,0.65,,978.9164,3.08,97.2396
HD 73526 c,1,Radial Velocity,2005,Published Confirmed,0,379.1,1.03,,715.09,2.25,97.2396
HD 73534 b,1,Radial Velocity,2008,Published Confirmed,0,1750.0,2.99,,353.42696,1.112,83.3321
HD 73583 b,1,Transit,2022,Published Confirmed,0,6.398042,0.0604,2.79,10.2,0.03209279,31.5666
HD 73583 c,1,Transit,2022,Published Confirmed,0,18.87974,0.1242,2.39,9.7,0.03051961,31.5666
HD 74156 b,1,Radial Velocity,2003,Published Confirmed,0,51.63564,0.28,,532.36258173,1.675,57.603
HD 74156 c,1,Radial Velocity,2003,Published Confirmed,0,2448.48726,3.678,,2753.98314665,8.665,57.603
HD 7449 b,1,Radial Velocity,2011,Published Confirmed,0,1270.55195,2.438,,2597.92939882,8.174,38.662
HD 74698 b,1,Radial Velocity,2023,Published Confirmed,0,15.017,0.121,,23.0,0.07,52.0648
HD 74698 c,1,Radial Velocity,2023,Published Confirmed,0,3449.0,4.5,,126.0,0.4,52.0648
HD 75289 b,1,Radial Velocity,1999,Published Confirmed,0,3.50927,0.05,,155.7367,0.49,29.1158
HD 75302 b,1,Radial Velocity,2023,Published Confirmed,0,4356.0,5.3,,1716.2733978,5.4,30.3288
HD 75784 b,1,Radial Velocity,2014,Published Confirmed,0,341.2,1.032,,317.83,1.0,85.4321
HD 75784 c,1,Radial Velocity,2018,Published Confirmed,0,7900.0,8.4,,1792.5612,5.64,85.4321
HD 75898 b,1,Radial Velocity,2007,Published Confirmed,0,422.82,1.2025,,810.46243785,2.55,78.0505
HD 75898 c,1,Radial Velocity,2024,Published Confirmed,0,6717.0,7.39,,2698.36317543,8.49,78.0505
HD 76700 b,1,Radial Velocity,2002,Published Confirmed,0,3.97097,0.05,,66.7443,0.21,60.8831
HD 76920 b,1,Radial Velocity,2017,Published Confirmed,0,415.891,1.091,,994.80291391,3.13,184.031
HD 77338 b,1,Radial Velocity,2012,Published Confirmed,0,5.7361,0.06,,19.0698,0.06,45.935
HD 77946 b,1,Transit,2024,Published Confirmed,0,6.527363,0.073,2.89646124,10.9,0.03429524,99.451
HD 79181 b,1,Radial Velocity,2021,Published Confirmed,0,273.1,0.9,,203.41018048,0.64,103.335
HD 7924 b,1,Radial Velocity,2008,Published Confirmed,0,5.39792,0.06,,6.3566,0.02,16.9922
HD 7924 c,1,Radial Velocity,2015,Published Confirmed,0,15.299,0.1134,,7.86,0.0247302,16.9922
HD 7924 d,1,Radial Velocity,2015,Published Confirmed,0,24.451,0.1551,,6.44,0.0202624,16.9922
HD 79498 b,1,Radial Velocity,2011,Published Confirmed,0,1807.0,2.98,,425.8922,1.34,48.9489
HD 80606 b,1,Radial Velocity,2001,Published Confirmed,0,111.436765,0.4603,11.56766808,1323.46926959,4.1641,66.4711
HD 80653 b,1,Transit,2020,Published Confirmed,0,0.71957926,0.01657,1.621,5.61,0.01765103,109.86
HD 80869 b,1,Radial Velocity,2021,Published Confirmed,0,1752.92067,2.905,,1609.80088146,5.065,85.3951
HD 80883 b,1,Radial Velocity,2022,Published Confirmed,0,6383.78352,6.462,,1748.0562385,5.5,34.6011
HD 80913 b,1,Radial Velocity,2022,Published Confirmed,0,10839.83341,9.95,,7505.2000029,23.614,61.3603
HD 81040 b,1,Radial Velocity,2005,Published Confirmed,0,1002.7,1.946,,2301.07766668,7.24,34.4341
HD 81688 b,1,Radial Velocity,2007,Published Confirmed,0,183.93,0.648,,525.68818518,1.654,85.7183
HD 81817 b,1,Radial Velocity,2020,Published Confirmed,0,1021.20159,3.233,,7668.5638041,24.128,269.126
HD 81817 c,1,Radial Velocity,2022,Published Confirmed,0,622.97802,2.325,,7185.78245386,22.609,269.126
HD 82886 b,1,Radial Velocity,2011,Published Confirmed,0,705.0,1.58,,740.5439,2.33,127.061
HD 82943 b,1,Radial Velocity,2003,Published Confirmed,0,441.47,1.18306,,534.25,1.681,27.5902
HD 82943 c,1,Radial Velocity,2003,Published Confirmed,0,220.078,0.74345,,622.603,1.959,27.5902
HD 8326 b,1,Radial Velocity,2019,Published Confirmed,0,158.991,0.533,,66.6,0.20954598,30.6862
HD 83443 b,1,Radial Velocity,2002,Published Confirmed,0,2.985628,0.0406,,127.76701961,0.402,40.8991
HD 83443 c,1,Radial Velocity,2022,Published Confirmed,0,8241.0,8.0,,476.7426105,1.5,40.8991
HD 8535 b,1,Radial Velocity,2010,Published Confirmed,0,1313.0,2.45,,216.1244,0.68,55.4401
HD 85390 b,1,Radial Velocity,2011,Published Confirmed,0,799.52,1.373,,31.46517,0.099,33.5225
HD 85426 c,1,Radial Velocity,2026,Published Confirmed,0,35.73,,,10.3,0.03240742,53.974
HD 8574 b,1,Radial Velocity,2002,Published Confirmed,0,227.0,0.76,,645.1949,2.03,44.8264
HD 86065 b,1,Radial Velocity,2022,Published Confirmed,0,25775.78859,15.947,,2877.30056857,9.053,40.3661
HD 86081 b,1,Radial Velocity,2006,Published Confirmed,0,2.1378431,0.0346,,470.3884,1.48,103.936
HD 86226 b,1,Radial Velocity,2009,Published Confirmed,0,1628.0,2.73,,143.0235,0.45,45.683
HD 86226 c,1,Transit,2020,Published Confirmed,0,3.98442,0.049,2.16,7.25,0.02281094,45.683
HD 86264 b,1,Radial Velocity,2009,Published Confirmed,0,1488.79123,2.763,,3117.26101586,9.808,67.8107
